date,Day Type,Holiday,Moon Calendar,School Events,Rainfall_mm,Max_temp_celsius,Min_temp_celsius,Season,total_passengers,total_adults,total_children,total_fare,no_of_full_fare_tickets,total_C/P_tickets,total_buses,no_of_trips_offline,no_of_MHL_passengers,no_of_city_ordinary_bus,no_of_metro_express_bus,no_of_pallevelug_bus,no_of_other_bus,no_of_metro_delux_bus,no_of_express_bus
2023-05-09,1,0,20,2,20.28755056107116,35.45338988532984,25.980738266721232,1.0,20285,19947,338,336855,12782,7503,46,347,0,26,11,9,0,0,0
2023-05-10,2,0,21,2,17.570993480321576,35.741629639154155,25.78585732498874,1.0,21184,20646,538,338035,12875,8309,43,326,0,25,8,10,0,0,0
2023-05-11,3,0,22,2,1.072138478918918,36.59964326640113,24.19030034377608,1.0,22856,22341,515,343340,13156,9700,44,321,0,27,8,10,0,0,0
2023-05-12,4,0,23,2,0.0229231031913677,38.123224931843424,23.98375218771201,1.0,23353,23071,282,361115,13770,9583,45,325,0,28,8,10,0,0,0
2023-05-13,5,0,24,2,0.0120162962637948,38.81617532892102,24.509325984750262,1.0,21275,20885,390,320680,12111,9163,42,304,0,23,10,10,0,0,0
2023-05-14,6,0,25,2,0.0008583068797918,38.8996033907743,26.121296932774328,1.0,26763,26314,449,399710,14973,11790,41,310,0,28,5,8,0,0,0
2023-05-15,0,0,26,2,0.0128721448641268,38.03271861017538,26.306663068871444,1.0,25801,25390,411,416245,15365,10436,45,326,0,25,12,8,0,0,0
2023-05-16,1,0,27,2,0.0094205414787402,38.31148263408585,25.28256489656553,1.0,21348,20945,403,339595,12828,8520,44,316,0,25,11,8,0,0,0
2023-05-17,2,0,28,2,0.0239953386085289,38.34368549064334,25.33627996405545,1.0,25097,24619,478,330015,12617,12480,45,325,0,27,8,10,0,0,0
2023-05-18,3,0,29,2,0.0058139128371487,38.00355545491704,25.75914346915812,1.0,23568,23193,375,338720,13012,10556,48,352,0,28,10,10,0,0,0
2023-05-19,4,0,0,2,0.8144596489130831,38.20284759852291,26.28016363200197,1.0,22296,21978,318,313780,11962,10334,48,352,0,29,11,8,0,0,0
2023-05-20,5,0,1,2,0.2272434645190516,37.96987866975133,26.56643673527907,1.0,19368,19091,277,298520,11594,7774,40,309,0,28,6,7,0,0,0
2023-05-21,6,0,2,2,0.7120569178393504,37.84716451487333,26.2670355411978,1.0,22908,22417,491,331220,12090,10818,44,317,0,28,10,6,0,0,0
2023-05-22,0,0,3,2,2.953415817245252,37.63241186123514,26.9917923467126,1.0,22523,22100,423,347430,13268,9255,44,321,0,24,10,10,0,0,0
2023-05-23,1,0,4,2,0.7648454928352519,37.54305098915461,26.75662297620596,1.0,24962,24550,412,338515,13958,11003,43,309,0,28,5,10,0,0,0
2023-05-24,2,0,5,2,0.7271309928479985,37.90718254378851,27.2536967786786,1.0,22917,22646,271,333090,12862,10054,45,336,0,27,9,10,0,0,0
2023-05-25,3,0,6,2,1.70047629800783,37.62387074368252,28.60352392886483,1.0,19971,19563,408,308120,11812,8159,45,324,0,28,7,10,0,0,0
2023-05-26,4,0,7,2,0.114769644500597,37.18073989917235,26.83824071388625,1.0,20394,20026,368,277330,10702,9691,39,287,0,23,6,10,0,0,0
2023-05-27,5,0,8,2,0.0193600238764945,37.80740707165887,26.42358578462529,1.0,18792,18403,389,283405,10914,7878,39,291,0,23,6,10,0,0,0
2023-05-28,6,0,9,2,0.2347346389930893,37.68634803591812,26.70576872106443,1.0,23912,23422,490,330370,12190,11721,47,349,0,28,9,10,0,0,0
2023-05-29,0,0,10,2,12.130656751776296,37.14462547532577,26.66231721094977,1.0,21537,21211,326,322720,12048,9489,42,327,0,26,7,10,0,0,0
2023-05-30,1,0,11,2,1.7834580011137902,36.71016884233171,26.133428086290905,1.0,17099,16810,289,275690,10457,6642,41,293,0,22,11,9,0,0,0
2023-05-31,2,0,12,2,0.0851618096457928,38.57041198687659,26.09301644164782,1.0,19141,18806,335,302305,11694,7447,41,316,0,25,8,8,0,0,0
2023-06-01,3,0,13,0,0.0165456868971133,39.13613904022225,26.99388882700191,1.0,22303,21573,730,343698,13145,9158,37,299,0,22,7,8,0,0,0
2023-06-02,4,0,14,0,0.0196616446324071,39.44384621954043,27.179466475148672,1.0,21884,21347,537,313979,12207,9677,37,284,0,24,7,6,0,0,0
2023-06-03,5,0,15,2,0.415403137071443,39.28581846540556,28.42144903243127,1.0,21514,20808,706,301040,11499,10013,41,306,0,25,6,10,0,0,0
2023-06-04,6,0,16,2,14.209316891300706,38.56621866180819,27.443685721434008,1.0,19740,19318,422,345215,12563,7177,42,316,0,29,6,10,0,0,0
2023-06-05,0,0,17,0,1.1008357862062452,37.09340139733115,27.268628006455742,1.0,21695,21271,424,342520,12734,8960,35,286,0,25,6,5,0,0,0
2023-06-06,1,0,18,0,0.0874471365906258,37.64209459861763,27.81631002274424,2.0,19134,18584,550,318970,12289,6845,36,292,0,25,7,4,0,0,0
2023-06-07,2,0,19,0,0.5038913429057356,38.073577277425386,28.93474678639961,2.0,19117,18818,299,311905,11917,7200,38,280,0,27,7,4,0,0,0
2023-06-08,3,0,20,0,1.0192757437618565,38.46836303890569,28.94915751776398,2.0,20756,20375,381,314133,12436,8319,36,301,0,28,5,3,0,0,0
2023-06-09,4,0,21,0,2.571395171161663,38.85942710565968,29.296589661168014,2.0,19227,18862,365,292025,11089,8137,32,280,0,20,6,6,0,0,0
2023-06-10,5,0,22,2,15.64694609807252,37.82587701124487,26.63505163454198,2.0,22078,21751,327,330730,12658,9419,39,320,0,26,8,5,0,0,0
2023-06-11,6,0,23,2,16.529437118253295,36.394983065079884,27.165175296380426,2.0,26546,26139,407,398140,14552,11994,39,330,0,29,6,5,0,0,0
2023-06-12,0,0,24,0,5.15148638841445,37.59888315962286,27.99906888681249,2.0,22780,22287,493,370390,13828,8952,41,336,0,27,10,5,0,0,0
2023-06-13,1,0,25,0,0.6652401304601846,38.29467703759786,28.096753304132164,2.0,23338,23060,278,363675,13858,9480,37,333,0,22,10,6,0,0,0
2023-06-14,2,0,26,0,0.2428925194465837,37.79818275049985,28.38917640367623,2.0,27054,26398,656,355445,13488,13565,38,307,0,24,8,6,0,0,0
2023-06-15,3,0,27,0,0.0286697663337347,37.22173689212013,28.425269571510512,2.0,20165,19465,700,313185,11847,8318,37,298,0,22,10,6,0,0,0
2023-06-16,4,0,28,0,0.0220978240500731,38.37452871499249,28.168298224716352,2.0,21729,21497,232,350263,13274,8455,41,334,0,24,11,6,0,0,0
2023-06-17,5,0,0,2,0.1039580237214327,37.66075993275342,28.74881091201115,2.0,23900,23492,408,335133,12539,11361,40,320,0,24,10,6,0,0,0
2023-06-18,6,0,1,2,0.6442173500552854,37.87976217648787,29.193017381580542,2.0,21230,20985,245,314300,11552,9678,39,322,0,25,9,5,0,0,0
2023-06-19,0,0,2,0,0.6745901434788604,37.13200134588425,28.727763769025216,2.0,26265,25888,377,420390,15347,10918,43,376,0,25,13,6,0,0,0
2023-06-20,1,1,3,0,15.010875661961494,37.76232347036233,28.07736792799028,2.0,23735,23290,445,380095,14105,9630,42,341,0,28,9,5,0,0,0
2023-06-21,2,0,4,0,21.904281160983963,36.747568998024406,26.01508077118757,2.0,22521,22331,190,331975,12551,9970,38,317,0,25,8,6,0,0,0
2023-06-22,3,0,5,0,12.879765910839913,34.61156538493714,26.53689697279276,2.0,18798,18530,268,307970,11612,7185,36,307,0,22,11,4,0,0,0
2023-06-23,4,0,6,0,51.8914639981201,32.670906051694544,24.22271367136682,2.0,26615,26372,243,342975,13158,13457,42,328,0,26,10,6,0,0,0
2023-06-24,5,0,7,2,111.1886582473205,28.847025711992387,23.69098858427577,2.0,20812,20526,286,311515,11834,8978,38,310,0,22,11,5,0,0,0
2023-06-25,6,0,8,2,140.2982810331667,28.99353749624703,23.60847979944544,2.0,25288,25017,271,375850,13732,11556,40,331,0,27,7,6,0,0,0
2023-06-26,0,0,9,0,44.62674929857248,29.010335538611628,24.04265377761436,2.0,21021,20703,318,339980,12285,8736,44,345,0,28,10,6,0,0,0
2023-06-27,1,0,10,0,29.97070304992345,30.157019204244875,23.97713164654033,2.0,23052,22867,185,373638,13844,9208,36,307,0,17,13,6,0,0,0
2023-06-28,2,0,11,0,12.198582359170407,31.18099047233943,24.136029698203515,2.0,31696,31393,303,456310,17057,14638,40,312,0,26,8,6,0,0,0
2023-06-29,3,2,12,0,6.990469146612962,32.73894603715655,25.21888754993733,2.0,23703,23243,460,369415,13870,9832,35,272,0,26,5,4,0,0,0
2023-06-30,4,0,13,0,1.1178458097403865,32.35615669277462,24.987618655282063,2.0,28125,27706,419,431225,16011,12114,43,351,0,29,9,6,0,0,0
2023-07-01,5,0,14,2,5.279175647017213,34.150012690956885,25.55959991485048,2.0,25013,24394,619,391080,13863,11150,40,329,0,24,11,6,0,0,0
2023-07-02,6,0,15,2,22.497184521055505,33.39198820671362,25.225445795025564,2.0,19608,19362,246,298525,11732,7876,36,306,0,24,8,5,0,0,0
2023-07-03,0,0,16,0,22.68807150826199,33.34146601135359,25.090317770469085,2.0,25496,25188,308,392225,14427,11069,43,344,0,25,14,5,0,0,0
2023-07-04,1,0,17,0,152.82060097162972,33.987535330155765,24.65411080951077,2.0,22319,21813,506,332990,13656,8663,44,346,0,27,12,5,0,0,0
2023-07-05,2,0,18,0,172.47978281279038,29.548310224629745,24.040749826827664,2.0,17760,17600,160,285335,10858,6902,42,325,0,24,12,6,0,0,0
2023-07-06,3,0,19,0,107.8088590757937,26.997710916896096,23.350197945490265,2.0,18190,17580,610,258695,10096,8094,37,293,0,25,10,2,0,0,0
2023-07-07,4,3,20,0,65.46688394881942,29.481929689950903,23.40615720977803,2.0,23871,23660,211,371690,14213,9658,45,348,0,29,10,6,0,0,0
2023-07-08,5,3,21,2,13.241628183174162,30.25105299842,23.840612327006284,2.0,19948,19678,270,286530,10373,9575,37,299,0,21,10,6,0,0,0
2023-07-09,6,3,22,2,7.158539902306154,30.983448618240573,24.542114693447616,2.0,19577,19340,237,341785,12468,7109,40,324,0,27,10,4,0,0,0
2023-07-10,0,0,23,0,3.834358914225597,31.67743546267189,25.35930541066801,2.0,27399,26924,475,416315,15609,11790,48,399,0,29,15,6,0,0,0
2023-07-11,1,0,24,0,32.40537108284745,29.251468044638216,24.16748626171335,2.0,18708,18359,349,296935,11278,7430,40,315,0,26,15,0,0,0,0
2023-07-12,2,0,25,0,25.0993833932322,30.30095666803584,24.028689354968265,2.0,20922,20599,323,281233,10585,10337,35,281,0,25,10,0,0,0,0
2023-07-13,3,0,26,0,43.07893366894201,30.439532914589847,24.01571995807768,2.0,24857,24629,228,382430,14307,10550,38,305,0,24,8,6,0,0,0
2023-07-14,4,0,27,0,46.0503832005069,31.200470083956816,24.02402323878937,2.0,24251,24069,182,328740,13689,10562,43,353,0,27,10,6,0,0,0
2023-07-15,5,3,28,2,24.680547873184,29.74429596458657,23.959224882363515,2.0,17471,17225,246,288835,11076,6395,38,300,0,25,10,3,0,0,0
2023-07-16,6,3,29,2,69.8969361667204,28.5064755178222,23.67801964533993,2.0,18023,17741,282,292123,10943,7080,37,296,0,26,7,5,0,0,0
2023-07-17,0,3,0,0,122.28148995648782,27.57244896262268,23.25428622752213,2.0,21835,21528,307,332870,12683,9152,45,353,0,28,12,5,0,0,0
2023-07-18,1,0,1,0,368.9847466019671,25.62794572231764,22.536117372087062,2.0,14374,14162,212,231235,8767,5607,30,231,0,20,7,3,0,0,0
2023-07-19,2,0,2,0,681.831959854958,24.144029666473383,22.656135199472715,2.0,21843,21551,292,332872,12903,8940,41,321,0,27,8,6,0,0,0
2023-07-20,3,0,3,0,370.9991184264193,25.514997015366816,22.88912884100569,2.0,17690,17466,224,235865,9421,8268,39,293,0,28,9,2,0,0,0
2023-07-21,4,0,4,0,234.6994454634958,26.01921897763652,22.99231325617285,2.0,17841,17567,274,252805,9876,7965,41,307,0,29,11,1,0,0,0
2023-07-22,5,0,5,2,44.73691106822644,28.111078954734865,23.39099414238342,2.0,18863,18558,305,271170,10416,8447,40,305,0,29,9,2,0,0,0
2023-07-23,6,0,6,2,93.60874768636424,27.784226729370346,23.309889638097104,2.0,18355,18181,174,268315,10099,8256,43,341,0,28,13,2,0,0,0
2023-07-24,0,0,7,0,227.11661948577188,27.455552372925183,23.09917358763068,2.0,19266,19008,258,303143,11190,8076,39,304,0,25,11,4,0,0,0
2023-07-25,1,0,8,0,305.50196928397617,25.064910051453296,22.97676698532252,2.0,20178,20046,132,297705,11656,8522,46,325,0,29,15,3,0,0,0
2023-07-26,2,0,9,0,326.38916532780064,26.587578645810083,22.992283431186024,2.0,15510,15195,315,219660,8606,6904,39,272,0,26,13,0,0,0,0
2023-07-27,3,0,10,0,1358.6606106689785,23.80095267057669,22.82607723494732,2.0,17447,16817,630,225597,8868,8579,44,305,0,27,14,3,0,0,0
2023-07-28,4,3,11,0,166.9849938607065,27.01902590425874,23.007755744232043,2.0,18174,17995,179,268200,10485,7689,41,302,0,28,13,1,0,0,0
2023-07-29,5,3,12,2,28.280148157153537,29.47547204704068,24.12510127756127,2.0,19348,19097,251,296135,10949,8399,43,342,0,26,12,6,0,0,0
2023-07-30,6,3,13,2,13.23897284397299,28.778032567428,23.860185134421613,2.0,18952,18622,330,290146,10843,8109,43,353,0,29,12,2,0,0,0
2023-07-31,0,0,14,0,31.24077229702753,29.309891328136075,24.52822526670156,2.0,14794,14562,232,228585,8428,6365,34,257,0,20,12,2,0,0,0
2023-08-01,1,0,15,0,22.738541711024983,29.46429826099046,24.39596586893225,2.0,22796,22627,169,369660,13939,8856,47,360,0,27,16,4,0,0,0
2023-08-02,2,0,16,0,4.096692230828139,29.38549102294741,24.512457931253152,2.0,17922,17770,152,300005,11143,6779,38,318,0,20,12,6,0,0,0
2023-08-03,3,0,17,0,12.044165916856713,28.9206911133208,24.39209172748582,2.0,23330,23090,240,343830,13061,10268,43,347,0,27,14,4,0,0,0
2023-08-04,4,0,18,0,10.591201804369918,30.46089193315061,24.08264418750406,2.0,21378,20967,411,337417,12793,8585,44,336,0,30,15,0,0,0,0
2023-08-05,5,0,19,2,14.544418420958172,30.42390400840503,24.243543223175664,2.0,17800,17427,373,248350,9508,8292,31,248,0,23,3,5,0,0,0
2023-08-06,6,0,20,2,4.925023438589325,30.47083614674728,24.394828523914327,2.0,19949,19525,424,338813,12329,7619,43,347,0,30,12,3,0,0,0
2023-08-07,0,0,21,0,5.800530118400182,29.579915123488945,24.01713389388476,2.0,23778,23522,256,365700,13525,10253,39,337,0,25,11,4,0,0,0
2023-08-08,1,0,22,0,3.870608190230744,30.09392717780895,23.700869308769995,2.0,26047,25890,157,380510,14646,11401,49,370,0,29,15,5,0,0,0
2023-08-09,2,0,23,0,4.009138970411075,29.75147651223722,24.03203524361379,2.0,21159,20893,266,321775,12246,8913,41,337,0,25,11,5,0,0,0
2023-08-10,3,0,24,0,6.2736374254077605,30.991096583366016,24.313209773938183,2.0,15133,14728,405,228405,8532,6601,31,232,0,19,12,0,0,0,0
2023-08-11,4,0,25,0,13.76330769189662,31.0799616567046,24.07318351691407,2.0,18734,18620,114,292110,11133,7601,33,249,0,24,9,0,0,0,0
2023-08-12,5,0,26,2,8.009613823036334,30.61764082524735,24.256603711316643,2.0,18428,18154,274,281255,10578,7850,36,277,0,24,12,0,0,0,0
2023-08-13,6,0,27,2,6.185843517869088,30.62012035638156,24.45338286607523,2.0,18424,17944,480,290235,10391,8033,38,290,0,26,12,0,0,0,0
2023-08-14,0,0,28,0,4.9189250739067445,29.14605050269193,24.38307119265721,2.0,18858,18647,211,303540,11311,7547,44,338,0,25,18,1,0,0,0
2023-08-15,1,2,29,0,10.358259353108894,29.663018453932125,23.95752511233451,2.0,12545,12292,253,215995,7562,4983,34,233,0,22,12,0,0,0,0
2023-08-16,2,1,0,0,4.853176823689178,30.50585266931614,24.45470544508396,2.0,19365,19209,156,293435,11159,8206,43,324,0,26,17,0,0,0,0
2023-08-17,3,0,1,0,24.14732916793113,29.420287428103904,24.265184373011834,2.0,13569,13405,164,206010,7993,5576,32,239,0,22,10,0,0,0,0
2023-08-18,4,0,2,0,21.820141172100847,27.76462048261885,23.981631161876063,2.0,17735,17606,129,275755,10503,7232,35,249,0,26,9,0,0,0,0
2023-08-19,5,0,3,2,46.34617517322517,27.12358349239321,23.377653828927464,2.0,15405,15168,237,244010,9531,5874,37,275,0,27,9,1,0,0,0
2023-08-20,6,0,4,2,11.499375079951294,29.649251895724888,23.222893811508413,2.0,17848,17601,247,274855,10357,7490,39,294,0,26,13,0,0,0,0
2023-08-21,0,0,5,0,0.8619445847705169,30.91767101925103,24.21220597567856,2.0,18956,18555,401,275960,10562,8394,38,284,0,25,12,1,0,0,0
2023-08-22,1,0,6,0,16.388498970366616,30.64265789146674,23.953097846995945,2.0,18467,18310,157,275440,10931,7536,38,285,0,26,12,0,0,0,0
2023-08-23,2,0,7,0,15.79637188239685,31.715599922554475,24.71191659258148,2.0,18860,18481,379,256085,9996,8862,34,265,0,23,10,1,0,0,0
2023-08-24,3,0,8,0,2.4134653934624537,30.549631762865715,24.592300189359776,2.0,15914,15466,448,230670,9317,6597,36,273,0,25,11,0,0,0,0
2023-08-25,4,3,9,0,15.614186078387045,31.00298233070584,24.743500941893046,2.0,19641,19467,174,255620,10388,9253,37,277,0,27,9,1,0,0,0
2023-08-26,5,3,10,2,15.835504781036988,30.159817136839763,24.56642484269497,2.0,16560,16374,186,247340,9457,7102,38,284,0,25,12,1,0,0,0
2023-08-27,6,3,11,2,8.650407362942422,31.359378185189257,24.68543928625587,2.0,16070,15891,179,240095,8858,7212,38,283,0,25,12,1,0,0,0
2023-08-28,0,0,12,0,4.743080779945386,31.08531154239165,23.57826248799256,2.0,21073,20621,452,307655,11355,9718,41,311,0,24,14,3,0,0,0
2023-08-29,1,0,13,0,8.413200094524239,30.73000991544677,23.11529721551801,2.0,19323,19082,241,271765,10441,8882,39,303,0,24,15,0,0,0,0
2023-08-30,2,0,14,0,2.450337817715821,31.271809057560063,23.23671108987645,2.0,19570,19091,479,277705,10742,8828,36,267,0,27,9,0,0,0,0
2023-08-31,3,1,15,0,8.668336675524646,31.46990200572776,23.63198280425462,2.0,16306,15564,742,269595,10257,6049,31,242,0,20,10,1,0,0,0
2023-09-01,4,0,16,0,10.43167803916992,31.78332852921829,23.96413051227904,2.0,21968,21553,415,334663,13033,8935,38,284,0,25,13,0,0,0,0
2023-09-02,5,0,17,2,56.37702766129459,31.17582937949811,23.594774698691253,2.0,12037,11841,196,192770,7539,4498,22,172,0,16,5,1,0,0,0
2023-09-03,6,0,18,2,266.7055967632924,28.77127945182769,23.34630553794221,2.0,12858,12657,201,200515,7684,5174,28,213,0,20,8,0,0,0,0
2023-09-04,0,0,19,0,1089.8143560747135,26.187138212056027,23.138315240051043,2.0,18271,17898,373,291925,11112,7159,38,278,0,23,14,1,0,0,0
2023-09-05,1,0,20,0,154.47232571376952,26.888197419723667,23.154331370516783,2.0,16303,16152,151,243980,9836,6467,35,258,0,26,9,0,0,0,0
2023-09-06,2,1,21,0,51.37341230686816,28.33336297442463,23.71182859371214,2.0,20444,20056,388,286855,11078,9366,41,309,0,26,14,1,0,0,0
2023-09-07,3,2,22,0,31.05180368601877,27.97426791304207,23.469366694363657,2.0,18092,17743,349,252510,9935,8157,36,270,0,24,12,0,0,0,0
2023-09-08,4,0,23,0,28.03939637911518,27.5361653764046,23.50973074396404,2.0,18448,18168,280,255145,10007,8440,36,273,0,25,11,0,0,0,0
2023-09-09,5,0,24,2,38.50858201310464,29.11490932164673,23.87134679897048,2.0,16562,16319,243,229405,8704,7858,34,267,0,23,11,0,0,0,0
2023-09-10,6,0,25,2,183.7494475187092,29.103604556767948,23.889606620451843,2.0,16670,16432,238,259805,9381,7289,33,259,0,21,12,0,0,0,0
2023-09-11,0,0,26,0,21.561122555724943,29.798118895204368,23.80118242718765,2.0,20220,19644,576,314240,12144,8076,40,295,0,27,12,1,0,0,0
2023-09-12,1,0,27,0,14.31588200426926,29.039735293271576,24.242108145388784,2.0,18468,18257,211,298010,11414,7054,39,299,0,24,12,3,0,0,0
2023-09-13,2,0,28,0,17.928604559352127,29.40734346224457,23.587606793779912,2.0,18073,17733,340,248124,9801,8269,33,258,0,22,10,1,0,0,0
2023-09-14,3,0,0,0,113.96784250569078,26.4822076054378,23.323873242876346,2.0,16661,16290,371,248130,9828,6833,34,262,0,23,11,0,0,0,0
2023-09-15,4,0,1,0,16.16414269358651,28.849149778365188,23.72024915562276,2.0,15387,15196,191,207255,8138,7248,28,222,0,19,9,0,0,0,0
2023-09-16,5,3,2,2,10.516388582148238,29.543468330136363,23.73600407298904,3.0,11774,11452,322,188115,6747,5027,23,185,0,13,10,0,0,0,0
2023-09-17,6,3,3,2,2.151613638325435,30.172264864500903,23.125623791627675,3.0,12769,12571,198,212745,8129,4639,24,185,0,17,7,0,0,0,0
2023-09-18,0,3,4,0,4.271798136134231,30.5308458279369,23.54365250266528,3.0,14546,14362,184,216270,8296,6250,35,272,0,21,14,0,0,0,0
2023-09-19,1,0,5,0,17.641918701729956,31.107208586212664,24.45776652494652,3.0,16572,16265,307,247453,9690,6882,36,275,0,25,11,0,0,0,0
2023-09-20,2,0,6,0,55.34495199729991,30.426607273491413,24.18258618587521,3.0,16932,16718,214,252235,9840,7092,36,272,0,24,12,0,0,0,0
2023-09-21,3,0,7,0,113.77741940546048,28.627896645220005,23.248837047925008,3.0,11687,11580,107,194548,6995,4692,23,183,0,13,10,0,0,0,0
2023-09-22,4,0,8,0,50.23479643031165,28.85387330318076,23.06413020150717,3.0,16636,16566,70,228760,8910,7726,35,255,0,24,11,0,0,0,0
2023-09-23,5,0,9,2,96.67969653965878,29.720473010787885,23.119486372747872,3.0,15984,15699,285,217500,8241,7743,37,272,0,23,14,0,0,0,0
2023-09-24,6,0,10,2,110.23062454033943,29.22995859299596,23.01879085980994,3.0,17019,16748,271,249540,9314,7705,36,276,0,23,13,0,0,0,0
2023-09-25,0,0,11,0,149.5338397359958,28.010676528205977,22.86692052365624,3.0,14716,14571,145,258380,9517,5199,35,276,0,18,13,4,0,0,0
2023-09-26,1,0,12,0,89.95345976744998,29.47763902059654,22.61266143273337,3.0,20317,20026,291,290270,11317,9000,41,283,0,24,17,0,0,0,0
2023-09-27,2,0,13,0,51.045119516458776,30.25657583473685,22.571431804984627,3.0,18372,18010,362,253590,9710,8662,39,286,0,24,12,3,0,0,0
2023-09-28,3,2,14,0,79.47801602763748,31.14165754586673,23.052506679562725,3.0,16057,15549,508,257955,9661,6395,33,266,0,19,11,4,0,0,0
2023-09-29,4,0,15,0,112.14713554385,30.483080200650363,22.85520260364592,3.0,14259,14027,232,245765,9190,5069,36,253,0,25,11,0,0,0,0
2023-09-30,5,3,16,2,57.05291850014285,30.268797483907065,23.09412807037125,3.0,17435,17210,225,259173,9920,7513,41,308,0,27,11,3,0,0,0
2023-10-01,6,3,17,2,59.12773868529313,29.836782984559875,23.72656433152713,3.0,25955,25562,393,392110,14467,11487,49,431,0,25,19,6,0,0,0
2023-10-02,0,3,18,0,7.125427417481903,29.653228946890863,23.42293111927876,3.0,14724,14396,328,263330,9506,5218,29,280,0,13,10,6,0,0,0
2023-10-03,1,0,19,1,12.239662187977382,30.62162987682308,24.51169595809273,3.0,27120,26777,343,394740,15088,12032,46,397,0,29,15,2,0,0,0
2023-10-04,2,0,20,1,0.8207634091166441,31.95467517443365,22.35485899641975,3.0,17658,17557,101,296130,11000,6658,36,286,0,23,12,2,0,0,0
2023-10-05,3,0,21,1,0.0085473053559326,31.400405269036924,21.905381315913303,3.0,17322,17231,91,268095,10222,7100,31,271,0,15,11,5,0,0,0
2023-10-06,4,0,22,1,0.001710653293685,31.628393419869155,21.757442133954044,3.0,22499,22337,162,300930,11758,10741,40,355,0,23,12,5,0,0,0
2023-10-07,5,0,23,2,0.0,31.36563904678519,21.58708874887936,3.0,25945,25760,185,347960,13504,12441,41,353,0,25,11,5,0,0,0
2023-10-08,6,0,24,2,0.034857356431084,31.573429390294848,21.44545218052832,3.0,22755,22544,211,337285,12619,10136,45,392,0,25,15,5,0,0,0
2023-10-09,0,0,25,1,0.0112368211890579,31.94956932604873,21.61818275316284,3.0,23083,22766,317,357700,13533,9549,46,407,0,26,14,6,0,0,0
2023-10-10,1,0,26,1,0.6430226659936366,31.38556539319063,22.56967531611133,3.0,26580,26344,236,365115,14228,12352,55,448,0,29,21,5,0,0,0
2023-10-11,2,0,27,1,0.4385676762022229,32.099577790069986,22.34494046881452,3.0,21899,21699,200,318105,12300,9599,48,374,0,30,15,3,0,0,0
2023-10-12,3,0,28,1,0.7279040936405564,31.77707675053358,22.35318759743552,3.0,25802,25423,379,359970,13725,12077,48,421,0,25,17,6,0,0,0
2023-10-13,4,0,29,1,0.167372099466462,31.39659633034239,22.20843517245578,3.0,24599,24143,456,342420,13233,11366,47,389,0,26,15,6,0,0,0
2023-10-14,5,2,0,1,0.2088412403292061,31.5046393831592,21.90250641199458,3.0,22522,21989,533,316870,12078,10444,48,392,0,27,15,6,0,0,0
2023-10-15,6,0,1,1,0.2031386601161722,31.319865693604413,22.749335143742822,3.0,19854,19309,545,318945,11896,7958,47,417,0,27,17,3,0,0,0
2023-10-16,0,0,2,2,4.082788289605654,30.29508424406407,22.65971105003609,3.0,22571,21875,696,353490,13149,9422,45,373,0,25,16,4,0,0,0
2023-10-17,1,0,3,2,0.3955500471145525,30.78477618268852,21.696646561417708,3.0,24378,23979,399,361485,13891,10487,45,380,0,28,16,2,0,0,0
2023-10-18,2,0,4,2,0.803627024944883,31.53306044898801,21.491665040771466,3.0,20704,20300,404,317305,12409,8295,38,350,0,27,7,4,0,0,0
2023-10-19,3,0,5,2,0.7053708061550634,31.202799071993184,21.29385766930926,3.0,28897,28326,571,371775,14589,14308,47,433,0,29,13,5,0,0,0
2023-10-20,4,0,6,2,0.1380650277256285,31.304188987191765,21.07593345906492,3.0,23125,22839,286,349585,13427,9698,44,381,0,27,12,5,0,0,0
2023-10-21,5,3,7,2,0.1328124500047167,31.2984027462129,20.581404299933467,3.0,20975,20572,403,316840,12388,8582,40,321,0,26,11,3,0,0,0
2023-10-22,6,3,8,2,0.0074877148923872,30.878304098614592,19.00265263079717,3.0,19459,19031,428,315315,11996,7462,43,354,0,27,16,0,0,0,0
2023-10-23,0,3,9,2,0.0140939874633261,30.15446748895323,18.17385842042836,3.0,13566,13320,246,228695,8373,5193,25,220,0,15,6,4,0,0,0
2023-10-24,1,3,10,2,0.0051438808021941,30.367716375974453,17.751480824046155,3.0,14648,14371,277,258240,9507,5141,31,250,0,22,6,4,0,0,0
2023-10-25,2,3,11,2,0.0025987621583567,30.47366653425246,17.978168155230662,3.0,21413,20877,536,310530,12335,9078,36,306,0,26,10,0,0,0,0
2023-10-26,3,0,12,0,0.0111430877147711,30.175970785406832,17.55558651548938,3.0,21938,21342,596,331055,12963,8975,40,341,0,27,13,0,0,0,0
2023-10-27,4,3,13,0,0.0081509347182873,30.1040071442568,17.19210002387831,3.0,23321,23088,233,339555,13150,10171,46,374,0,27,14,6,0,0,0
2023-10-28,5,3,14,2,0.0532129195793769,30.39870289658916,19.56687836416989,3.0,24317,23928,389,361890,13979,10338,45,401,0,27,13,5,0,0,0
2023-10-29,6,3,15,2,0.1575040267262401,30.662994650386903,19.95298659247186,3.0,22463,22160,303,329720,12115,10348,46,414,0,25,15,6,0,0,0
2023-10-30,0,0,16,0,4.305776940897252,29.66620489376328,19.88513938185855,3.0,25708,24990,718,386305,14658,11050,47,396,0,28,13,6,0,0,0
2023-10-31,1,0,17,0,6.056191774171967,29.65205266890473,20.238339867549712,3.0,24181,24008,173,357235,13734,10447,47,396,0,28,14,5,0,0,0
